id_cnpj,cd_cnae_prin,BASE,Atividade,Setor,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
28802d985a337ec05d24283b0bda15f1f1e3e10cc9e42a312015ea2b66d52f0b,5611201,56,Alimentação,Serviços,GO,9.426.766.612.511.270,,963,########,960,16.207,980,988
ef88192d65b6fb943ef261c566368e6f17fc6e9d402945c88033fc18d9e1b18d,1121600,11,Fabricação de bebidas,Indústria,AL,5.416.667.380.526.020,4.646.349.694.314.180,443,########,780,11.463,871,986
0225c5d1c27e9cba51f2aeb4cd522631ff9d02ab05343987d73ea5cd11fd01a9,4781400,47,Varejo,Comércio,SP,9.969.575.165.313.650,,924,223.300,970,296,983,988
ef7b90a487cde4e5cc3a8550aa41549a77764300c23c699a1aa8eefd473e95c9,4712100,47,Varejo,Comércio,PR,974.989.408.565.372,,938,########,960,2.413,975,989
8612b5b28f3b97296872168513f241767b8c7e73c7fe995b2c595a2965cf7a86,4712100,47,Varejo,Comércio,,939.561.435.240.756,,952,########,950,7.016,982,988
2c07f2bd2dedb9f46a8d110dca0b9e00135c80241e5d5d2869222e5a43db5d68,4646002,46,Atacado,Comércio,PE,9.900.024.931.181.150,9.175.579.264.534.980,940,########,950,8.213,979,987
3dbd2660f65e84d035e6ef59d1ef750ab80f69c0dfc0a30d553972ead2971791,4712100,47,Varejo,Comércio,PR,9.915.331.090.249.210,,954,########,970,1.244,978,988
9b058b3e70e24c75538979ff3747ff9093d72c661c83d35f2b5b46e15052b90c,4744005,47,Varejo,Comércio,SC,929.384.060.763.687,8.927.309.871.381.000,963,########,980,0,978,989
dd1b01f0e4962a3dfb89b2d06398a85c2f333625f51bbf6253cafb58c2e0f71f,4771701,47,Varejo,Comércio,PR,9.355.607.385.114.660,,926,########,960,6.742,969,987
af3f2fc7ad9fd8cfc12e314a094893327ec3e8b8ceec6ff5591d622ab1ec2990,4399102,43,Serviços especializados,Construção,SP,50,,38,64.250,50,22.256,40,99
ce2178e41d055b425ac501aa0ad009fcf8a6c3435db720be53f5d9eba9567752,8299799,82,Serviços administrativos,Serviços,PR,9.040.643.299.751.280,997.367.828.417.624,958,133.250,950,0,975,989
a5142649ed9aa645898f92be6adda10fba7bf90f314364e5fa0ae88620c81951,4781400,47,Varejo,Comércio,GO,8.387.712.248.641.090,,911,########,980,31.842,980,988
eb85f366d04bc05d657aae59555c7b2126a2be6f9ac24216060b49ee0527313d,4922102,49,Transporte terrestre,Transporte e Logística,SP,9.635.050.268.018.000,,948,########,960,1.388,982,989
5010609d439c629fc9d501da6d758dfa45efafbceff07d53310d98b93adb648b,810002,81,Serviços prediais,Serviços,RJ,9.705.561.658.261.050,1.000,950,211.000,930,2.027,982,987
2c2ce7df3de06237f26bf111d65d4f08256c75c8f5fd5d06e27dea548c5f86b4,4781400,47,Varejo,Comércio,DF,1.000,,412,0,670,0,817,963
309f5ac089ee093c1f0dd1e75f1f61feb2ae0519ac19beccbeebeff0386c789d,4712100,47,Varejo,Comércio,PR,1.000,,948,########,1.000,0,981,988
ad759054f8bcd211b801f940ae7f82741de588ad7228b32b80cee5b062b7d99a,2949299,29,Veículos automotores,Indústria,SP,9.382.308.656.354.550,,762,########,920,1.999,950,989
329268f44ddca6b0f2915e6152dcd91254cdad184601f5826b3b04b22fddf7ea,4744001,47,Varejo,Comércio,,6.651.136.023.560.230,8.809.813.829.938.460,137,119.500,490,18.954,244,957
2aced40c796e5743916999ef05d1454f28290b58b932db98d7dcc7f35b5b4543,4754701,47,Varejo,Comércio,RJ,8.789.493.431.364.400,,483,########,800,2.885,966,983
5c48e8f1a9150a7147dac286e5acef62575ee07ba1d6a578e262c980be210b3e,2229302,22,Borracha e plástico,Indústria,SP,9.300.577.051.383.360,968.401.174.594.236,175,########,660,633,492,988
dfa1d38e229125ebee0e970b9867e94286f836a0e0e0103485699322a95b9afc,7490199,74,Ativ. técnicas,Serviços,SP,9.530.441.665.979.420,8.520.091.050.815.920,961,255.000,940,0,984,989
434ead7c8ed046e777e8ea2e008b1e32d33cc1e5586bce7fbe93e6ecf0434deb,8610101,86,Saúde,Serviços,RJ,6.657.470.980.006.460,,702,########,890,147,937,988
c4b40b436abd95a47e3e8364c85f2e903b137c66e62fc8ba678cb0bd1d4938af,4781400,47,Varejo,Comércio,RS,45.248.953.083.966.200,,565,8.000,900,1.000,70,351
9a1072473508f642b4cd4f810fb876a6b55861a08566c98b2546d4e55055a3a3,4530701,45,Veículos,Comércio,SP,4.330.622.037.497.960,,367,0,290,0,772,969
33ab72116ba6512ea93fdd0fd0c54ab8edd71000b90f570e5cb55a7d296219c9,4711302,47,Varejo,Comércio,GO,9.555.919.793.532.090,1.000,964,########,960,1.246,983,989
bc058eff451895638758f433eef687d17776056eebbb292d87150429872691c0,4712100,47,Varejo,Comércio,BA,9.494.181.613.683.330,,945,########,990,1.052,978,986
82156a69d9689af7360c5ea7402355f2fcd6f1262e35188dc979af8502a8f50d,4772500,47,Varejo,Comércio,SP,9.256.092.034.642.390,7.507.323.797.692.940,910,137.125,840,20.186,956,987
698bdeef7f65b78395875d43b6cfcebdcced85332fca5290976f9c2cad1e6d2e,1066000,10,Fabricação de produtos alimentícios,Indústria,SC,9.657.893.071.097.860,8.761.730.613.340.940,947,########,930,0,976,988
98d05b7807a9017ba833ccc3690857852d54c95e8184f4589f87b8823a5749a6,4782201,47,Varejo,Comércio,MG,6.586.431.899.002.660,,909,241.000,760,0,917,987
897c23bdc242b1728fb51aab26abfd6bc66393e8bee0bfde91f0847c97000bda,4781400,47,Varejo,Comércio,MG,8.527.495.149.477.010,,831,289.000,930,0,960,988
4421002e58a28b1e8f9161504a86df5c6f2524f86d861a39f8855e9631c26098,4644301,46,Atacado,Comércio,BA,933.735.583.990.811,8.751.751.199.174.960,943,########,990,174,978,988
09740281d16ef10b61624ed0f4508c66b126fd2400798d41f387881b6297b963,4771701,47,Varejo,Comércio,PR,9.297.705.730.123.770,,884,242.400,990,0,901,987
c7c2e5bbddf6123767b2ebda6c96bdfe4f81ab4aeff6c108d8e039cd9a2fc9d7,1412601,14,Vestuário,Indústria,SP,9.724.245.030.120.590,,820,138.000,760,0,745,984
be608cab6e961fd449a917855eee0fa428058fd86b9dfa2f6d162853b61f18c0,1099699,10,Fabricação de produtos alimentícios,Indústria,,19.835.757.839.840.500,6.737.098.373.505.780,178,########,660,9.805,48,754
676da921309b2152df3ac811137d4c577f623f993a45b466aa74b30f377aa157,4530702,45,Veículos,Comércio,SP,9.546.835.338.505.590,8.468.686.790.957.340,934,172.500,920,0,973,988
69dd175f4c54499b9ea6514359b93c3907c24747025c5c80b7974e224fd983f3,1099699,10,Fabricação de produtos alimentícios,Indústria,SP,9.258.330.155.355.940,9.459.173.412.058.050,889,192.200,950,0,978,988
454dbf3e7139595711c0b0c9725d92b80175be6d7db2bde72f12f384e70e292d,4744099,47,Varejo,Comércio,BA,43.393.808.431.363.700,,229,########,500,75.709,361,875
3df084d2e0e2973898d82fc346a1c6d239c078c17f7e7a331504d6a60523a61f,4686901,46,Atacado,Comércio,SP,864.921.789.426.036,7.401.900.892.814.530,921,162.000,950,40.811,978,987
ece9f222f4e7a39f6c6ff698d7f57da720e8c6cfb8aebb7fa101f3391a44edd4,4781400,47,Varejo,Comércio,MG,50,,81,45.500,250,1.945,28,157
83a858aaa45e5dcee41aad87385d6a5b7f5de996796d2b971bcb35a417c2ca75,1099699,10,Fabricação de produtos alimentícios,Indústria,MS,8.686.390.082.612.230,612.477.707.969.193,857,########,900,13.513,971,988
e94eeeb1a67379e8fb0fb981f641d69a077c9b2a9e4251cef1f4e999a95e5874,4646001,46,Atacado,Comércio,GO,9.265.886.704.595.690,9.400.146.352.421.910,894,165.480,920,11.655,983,989
d3a5e7308dcd5cb8c15891ed4ff4b1985f92e29b23fd2d87cd002048f4d8e2bb,4644301,46,Atacado,Comércio,RS,5.260.052.702.453.730,39.367.139.266.863.400,786,########,880,27.065,962,988
57eabf73a272bb4647c929c4ce10d89823586c709a1481c73f87ae2944f8845b,4712100,47,Varejo,Comércio,BA,9.905.413.658.225.630,,962,########,970,0,980,989
7700da74e2a2bcf2c0d2148d42dab6580690745cf671b7c71a8d5eec984e4b46,4520001,45,Veículos,Comércio,,33.666.234.369.167.600,8.047.675.618.394.440,98,########,480,8.263,54,906
26ff9da8c06f1171d571f012c4e16c6d7e7470d5e55e4123b3548bfd747c9ef6,4771701,47,Varejo,Comércio,PR,9.338.354.588.773.540,,927,########,980,31.426,981,986
d5136f7c01b63e1c1be20aa8da417704cc17760b23acdb15dfc122b58bc5ae31,4763602,47,Varejo,Comércio,MS,3.894.273.547.098.490,,488,21.000,710,0,840,981
5f383934af528e545c8260f19aec20843767cff63d5922a5608c994a7a66132e,2949299,29,Veículos automotores,Indústria,RS,7.823.388.175.579.100,8.538.410.309.944.910,939,2.505.625,950,97,982,989
da8b4c01a3b32c9bc90c4fc814e23ce18d2de5dc1ee3a9b66af01526d996b506,4781400,47,Varejo,Comércio,SP,9.771.509.866.199.190,,903,########,990,643,976,988
1bc2ad15f37bdf8a836628f699c44d4b679b16d56e25d6444082460ae4426b10,4712100,47,Varejo,Comércio,SP,6.108.970.085.326.830,,398,154.000,770,1.599,67,938
8d06f2a8b6edbc28209172671716e81633c0e2dc24c5feb8a9181a53d9936944,4722901,47,Varejo,Comércio,GO,9.374.469.296.785.620,,926,91.000,940,26.237,966,987
9657e1e1256921f207716b6f427fa99b79ed179a59e9394a47837ad99896ca12,1012101,10,Fabricação de produtos alimentícios,Indústria,,4.881.095.204.709.170,8.041.108.332.454.910,500,########,900,9.167,870,984
4d45e4f38590d8f99a8d79eee877057967dd2aa59056a2c8baba49ca8afb52a5,4781400,47,Varejo,Comércio,PR,9.555.952.843.661.800,,925,247.500,940,0,986,988
e8bcbfca95bbd8cbe10822e562d7f8cd66c5fed60013f0b0da7f41388c9a6546,1099699,10,Fabricação de produtos alimentícios,Indústria,PA,893.335.462.876.992,8.456.275.415.166.340,927,########,970,27.723,983,989
b926ac1a01c3344ca5618712a00c682c7b139487930d847c96c9b939dd55928a,4712100,47,Varejo,Comércio,RS,8.411.919.044.707.970,,835,########,940,18.901,368,984
61f84bd6c202ebf6f0ae4fdfc9137e38c19b6fc162bb0d42cf437df36a342c5e,3811400,38,Resíduos,Infraestrutura,SP,636.935.711.299.592,,840,########,930,1.074,975,988
a31baf4286e53077d3e60a1b25ea63f01299402dba4eb20d58479fe745b92312,4781400,47,Varejo,Comércio,MG,9.804.964.197.935.470,,949,103.000,990,11.203,979,988
147294cd0b3b668ec294df9f53435d8d667bbab0fcb290be2bdee3176797f4fe,4744099,47,Varejo,Comércio,CE,9.171.860.451.691.460,,903,########,940,5.217,953,987
274a83b2f3c91356dad367c04425c7e03a8ae0cdbf0d96151493e679b0c5fe21,4639701,46,Atacado,Comércio,BA,1.978.330.778.129.890,9.065.988.302.836.520,109,########,600,13.762,708,987
a255a10cd809ebf9eea1067de9299272b721dbfdf471383d6c01ce8ccd7246ec,4673700,46,Atacado,Comércio,PR,21.629.999.441.537.200,,357,########,660,37.199,87,872
11710b1ec05dce5d53197152b1b6091d51e436d604b9266e46f0541889562a04,4689301,46,Atacado,Comércio,SP,5.511.867.995.658.370,,827,79.250,850,78.603,601,890
96d463807e43d9b4bc298c22d09f913844a3af2aea8f1f6167f1aa4ba0d4d03f,4541202,45,Veículos,Comércio,RJ,9.997.051.187.966.940,9.633.702.249.319.610,961,########,970,0,982,989
338290320a78acce290f2f02d28b4efea12c1f242fdf9a71fa77cf05dd9eb088,4781400,47,Varejo,Comércio,SP,9.114.264.885.241.840,,867,########,890,28.982,969,988
6f1e7cf72ab93d3669216b0cfe9f06ef365e3ec6fc9fd664e16692964fc05612,4774100,47,Varejo,Comércio,RN,32.663.247.710.525.000,,328,########,770,43.383,652,984
5b761a28e3f7a3218245f4a3021ee596d919f93a5a8907a16c3298ffeab04c8f,4642702,46,Atacado,Comércio,GO,3.937.582.671.058.360,6.247.729.561.480.520,111,########,350,15.101,81,979
ad970215ade55f00bc67e20a902cf00c19d91874cc47d33860f5131b1a8cf600,4530701,45,Veículos,Comércio,SP,9.823.386.840.722.970,,944,258.150,950,0,983,989
bdb39525a82c5008f9dc8a74ac32d0cbd1d8d5d7de75bce29028a9e4c065160a,4639701,46,Atacado,Comércio,SP,9.848.739.775.621.790,9.465.483.577.246.330,517,16.000,600,0,622,952
ac968b5f9329d9b33586667dfe39ca14c81b3fa346e1189e36ec6f066ed2de6a,4689399,46,Atacado,Comércio,SP,2.674.053.216.117.110,8.601.875.131.469.940,483,43.000,860,88.359,848,862
